game_id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_division,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_division,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,home_win,point_diff
401628340,2024,2,regular,2024-09-07T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,61349,3683,Kroger Field,96,Kentucky,fbs,SEC,6,0.006082209207821032,1640,1563,2579,South Carolina,fbs,SEC,31,0.993917790792179,1560,1637,3.9452995446,NA,NA,0,-25
401628359,2024,3,regular,2024-09-14T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,79531,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,33,0.8567462764688526,1637,1642,99,LSU,fbs,SEC,36,0.1432537235311474,1803,1798,9.8185936219,NA,NA,0,-3
401628353,2024,3,regular,2024-09-14T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,89993,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,20,0.005388908230321768,1497,1485,245,Texas A&M,fbs,SEC,33,0.9946110917696782,1677,1689,3.0084883856,NA,NA,0,-13
401628354,2024,3,regular,2024-09-14T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,61663,3683,Kroger Field,96,Kentucky,fbs,SEC,12,0.20705104002487187,1563,1583,61,Georgia,fbs,SEC,13,0.7929489599751282,2066,2046,8.9509868466,NA,NA,0,-1
401628367,2024,4,regular,2024-09-21T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,49655,3693,Davis Wade Stadium,344,Mississippi State,fbs,SEC,28,0.13027343637126165,1386,1355,57,Florida,fbs,SEC,45,0.8697265636287383,1485,1516,3.9425420269,NA,NA,0,-17
401628363,2024,4,regular,2024-09-21T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,88043,3785,Jordan-Hare Stadium,2,Auburn,fbs,SEC,14,0.4738599991671969,1569,1537,8,Arkansas,fbs,SEC,24,0.5261400008328031,1451,1483,7.609649793,NA,NA,0,-10
401628369,2024,4,regular,2024-09-21T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,84701,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,15,0.09017369358378569,1848,1837,2633,Tennessee,fbs,SEC,25,0.9098263064162144,1964,1975,4.1458506038,NA,NA,0,-10
401628377,2024,5,regular,2024-09-28T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3974,Vaught-Hemingway Stadium,145,Ole Miss,fbs,SEC,17,0.5076055341165858,1879,1861,96,Kentucky,fbs,SEC,20,0.4923944658834142,1668,1686,8.5683895645,NA,NA,0,-3
401628375,2024,5,regular,2024-09-28T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,88043,3785,Jordan-Hare Stadium,2,Auburn,fbs,SEC,21,0.42386205342807326,1537,1547,201,Oklahoma,fbs,SEC,27,0.5761379465719267,1837,1827,5.7449637367,NA,NA,0,-6
401628378,2024,5,regular,2024-09-28T20:15:00.000Z,FALSE,TRUE,FALSE,TRUE,101388,3910,DKR-Texas Memorial Stadium,251,Texas,fbs,SEC,35,0.9985122659942977,2107,2091,344,Mississippi State,fbs,SEC,13,0.0014877340057023458,1355,1371,5.1491934959,NA,NA,1,22
401628374,2024,5,regular,2024-09-28T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,100077,3657,Bryant-Denny Stadium,333,Alabama,fbs,SEC,41,0.932477756510748,2046,2056,61,Georgia,fbs,SEC,34,0.06752224348925195,2046,2036,5.7366653406,NA,NA,1,7
401628383,2024,6,regular,2024-10-05T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,97049,3795,Kyle Field,245,Texas A&M,fbs,SEC,41,0.99886189292657,1683,1781,142,Missouri,fbs,SEC,10,0.0011381070734300949,1790,1692,2.4205755334,NA,NA,1,31
401628381,2024,6,regular,2024-10-05T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,93033,3917,Sanford Stadium,61,Georgia,fbs,SEC,31,0.9274264938830572,2036,2033,2,Auburn,fbs,SEC,13,0.07257350611694291,1547,1550,4.5969947957,NA,NA,1,18
401628382,2024,6,regular,2024-10-05T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,79837,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,3,0.04410312984767961,1699,1654,145,Ole Miss,fbs,SEC,27,0.9558968701523204,1861,1906,2.2922238837,NA,NA,0,-24
401628379,2024,6,regular,2024-10-05T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,75573,3887,Razorback Stadium,8,Arkansas,fbs,SEC,19,0.853422504219712,1485,1513,2633,Tennessee,fbs,SEC,14,0.146577495780288,1975,1947,9.4409572777,NA,NA,1,5
401628385,2024,7,regular,2024-10-12T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,100077,3657,Bryant-Denny Stadium,333,Alabama,fbs,SEC,27,0.5317165485267156,2014,2010,2579,South Carolina,fbs,SEC,25,0.4682834514732844,1654,1658,8.337485999,NA,NA,1,2
401628386,2024,7,regular,2024-10-12T20:15:00.000Z,FALSE,TRUE,FALSE,TRUE,93033,3917,Sanford Stadium,61,Georgia,fbs,SEC,41,0.9860373811833222,2033,2009,344,Mississippi State,fbs,SEC,31,0.01396261881667782,1371,1395,4.7759123974,NA,NA,1,10
401628391,2024,7,regular,2024-10-12T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,23,0.7931088508179842,1947,1936,57,Florida,fbs,SEC,17,0.2068911491820158,1537,1548,7.2760140012,NA,NA,1,6
401628388,2024,7,regular,2024-10-12T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,102212,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,29,0.26681076882312127,1874,1875,145,Ole Miss,fbs,SEC,26,0.7331892311768787,1906,1905,8.6586387449,NA,NA,1,3
401628395,2024,8,regular,2024-10-19T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,62621,3838,Memorial Stadium,142,Missouri,fbs,SEC,21,0.23393596298858252,1737,1735,2,Auburn,fbs,SEC,17,0.7660640370114175,1550,1552,8.0479951949,NA,NA,1,4
401628396,2024,8,regular,2024-10-19T16:45:00.000Z,FALSE,TRUE,FALSE,TRUE,83331,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,9,0.15115189282518085,1780,1694,2579,South Carolina,fbs,SEC,35,0.8488481071748192,1658,1744,1.9556014898,NA,NA,0,-26
401628397,2024,8,regular,2024-10-19T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,24,0.93418705022276,1936,1950,333,Alabama,fbs,SEC,17,0.06581294977724006,2010,1996,9.9902493945,NA,NA,1,7
401628394,2024,8,regular,2024-10-19T20:15:00.000Z,FALSE,TRUE,FALSE,TRUE,50127,3693,Davis Wade Stadium,344,Mississippi State,fbs,SEC,24,0.027039430126155475,1395,1405,245,Texas A&M,fbs,SEC,34,0.9729605698738444,1781,1771,4.4843261843,NA,NA,0,-10
401628392,2024,8,regular,2024-10-19T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,75893,3887,Razorback Stadium,8,Arkansas,fbs,SEC,10,0.07073032520246239,1513,1490,99,LSU,fbs,SEC,34,0.9292696747975376,1875,1898,3.2139788267,NA,NA,0,-24
401628398,2024,8,regular,2024-10-19T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,105215,3910,DKR-Texas Memorial Stadium,251,Texas,fbs,SEC,15,0.012471064367557372,2138,2089,61,Georgia,fbs,SEC,30,0.9875289356324426,2009,2058,3.975470081,NA,NA,0,-15
401628393,2024,8,regular,2024-10-19T23:45:00.000Z,FALSE,TRUE,FALSE,TRUE,NA,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,48,0.9984042579380444,1548,1634,96,Kentucky,fbs,SEC,20,0.001595742061955563,1645,1559,4.47219541,NA,NA,1,28
401628402,2024,9,regular,2024-10-26T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,67926,3974,Vaught-Hemingway Stadium,145,Ole Miss,fbs,SEC,26,0.9353244521332964,1905,1911,201,Oklahoma,fbs,SEC,14,0.06467554786670371,1694,1688,5.9986776529,NA,NA,1,12
401628403,2024,9,regular,2024-10-26T16:45:00.000Z,FALSE,TRUE,FALSE,TRUE,49303,3693,Davis Wade Stadium,344,Mississippi State,fbs,SEC,25,0.003434971232720184,1405,1322,8,Arkansas,fbs,SEC,58,0.9965650287672798,1490,1573,2.4655127937,NA,NA,0,-33
401628400,2024,9,regular,2024-10-26T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,100077,3657,Bryant-Denny Stadium,333,Alabama,fbs,SEC,34,0.998260781485511,1996,2058,142,Missouri,fbs,SEC,0,0.0017392185144889938,1735,1673,3.6589486898,NA,NA,1,34
401628404,2024,9,regular,2024-10-26T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,108852,3795,Kyle Field,245,Texas A&M,fbs,SEC,38,0.9018287792367656,1771,1814,99,LSU,fbs,SEC,23,0.09817122076323435,1898,1855,6.6754087222,NA,NA,1,15
401628401,2024,9,regular,2024-10-26T23:45:00.000Z,FALSE,TRUE,FALSE,TRUE,60605,3683,Kroger Field,96,Kentucky,fbs,SEC,10,0.0014103188259993991,1559,1526,2,Auburn,fbs,SEC,24,0.9985896811740006,1552,1585,4.3559521997,NA,NA,0,-14
401628406,2024,10,regular,2024-11-02T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,72894,3887,Razorback Stadium,8,Arkansas,fbs,SEC,31,0.018898573183159847,1573,1524,145,Ole Miss,fbs,SEC,63,0.9811014268168402,1911,1960,2.2293838949,NA,NA,0,-32
401628411,2024,10,regular,2024-11-02T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,80298,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,44,0.9430706784421996,1744,1812,245,Texas A&M,fbs,SEC,20,0.0569293215578004,1814,1746,5.9248578889,NA,NA,1,24
